As of 12-20-2019

Home Data
3,11,25,-4.2,28,104.4,23,51.3%,27,16.6%,19,25.8%,23,18.4,17,108.6,18,52.3%,4,16.8%,28,27.9%,28,22.7,
10,1,6,+9.9,1,118.0,10,54.1%,1,11.6%,14,26.9%,12,21.0,15,108.2,21,53.0%,8,15.8%,25,27.1%,4,16.2,
8,5,14,+3.2,19,109.1,14,53.2%,28,16.8%,4,29.4%,20,19.5,11,105.9,5,49.7%,21,14.1%,21,25.7%,14,19.2,
7,8,23,-3.5,16,110.3,12,53.8%,26,16.4%,9,27.8%,19,19.8,28,113.8,28,55.5%,12,15.2%,27,27.4%,3,16.1,
6,10,22,-3.0,30,102.0,28,49.4%,25,16.2%,24,24.7%,24,18.4,8,105.0,14,51.3%,1,17.3%,14,25.2%,29,23.7,
4,10,29,-6.6,23,108.1,20,52.2%,29,17.1%,3,29.7%,28,17.5,29,114.7,29,56.2%,29,12.9%,9,23.6%,2,14.3,
8,7,9,+7.1,6,114.1,13,53.4%,8,13.6%,18,26.0%,6,22.5,14,107.0,7,49.9%,27,13.2%,11,24.2%,20,20.9,
12,3,10,+6.6,15,110.8,25,50.9%,5,13.2%,6,28.8%,29,16.7,7,104.2,6,49.8%,22,14.0%,6,23.3%,15,19.8,
7,8,16,+2.0,8,113.9,4,55.6%,20,15.5%,11,27.2%,13,20.5,25,111.8,25,54.1%,24,13.8%,12,24.3%,9,18.4,
2,10,30,-7.8,29,104.0,29,49.1%,16,14.8%,25,24.5%,7,22.5,24,111.8,27,55.0%,6,16.2%,19,25.7%,17,20.2,
10,4,8,+7.3,9,113.8,16,52.9%,6,13.3%,22,25.1%,2,25.3,13,106.5,13,50.9%,20,14.3%,10,23.9%,10,18.6,
12,3,11,+6.6,20,109.0,21,51.8%,9,13.7%,21,25.6%,21,19.2,4,102.5,2,49.0%,13,15.1%,20,25.7%,7,18.1,
14,2,5,+10.6,13,112.3,19,52.4%,23,15.7%,2,30.1%,4,23.6,2,101.7,1,48.7%,10,15.6%,18,25.6%,11,18.8,
10,2,4,+11.8,5,114.2,7,54.8%,17,15.3%,7,28.7%,22,18.7,3,102.4,4,49.4%,3,17.0%,13,24.7%,19,20.7,
5,11,24,-3.9,21,108.8,17,52.8%,21,15.5%,12,27.1%,26,17.9,27,112.7,22,53.4%,23,13.9%,24,26.4%,27,22.2,
11,1,1,+15.1,2,117.7,1,58.1%,30,17.4%,5,29.3%,1,28.6,5,102.6,12,50.6%,5,16.3%,3,21.5%,25,21.6,
14,2,2,+13.9,3,117.0,2,56.2%,2,12.8%,23,25.1%,18,19.9,6,103.2,9,50.2%,14,15.1%,4,22.2%,5,17.2,
3,10,28,-4.7,27,105.5,30,48.5%,13,14.5%,10,27.5%,5,22.9,21,110.2,19,52.4%,18,14.5%,15,25.3%,21,21.3,
4,11,21,-2.7,18,109.4,15,53.0%,15,14.8%,17,26.2%,27,17.8,26,112.1,24,54.0%,19,14.5%,17,25.4%,22,21.4,
4,10,26,-4.2,24,107.5,27,49.8%,18,15.4%,1,31.8%,15,20.2,23,111.7,23,53.5%,17,14.6%,16,25.4%,24,21.6,
9,5,13,+4.2,12,112.5,3,56.1%,14,14.5%,30,20.7%,3,23.7,16,108.3,20,52.8%,15,15.1%,22,25.8%,8,18.3,
8,6,18,+1.3,25,107.1,26,50.6%,11,14.2%,16,26.2%,25,18.3,10,105.8,15,51.6%,25,13.4%,8,23.6%,1,14.0,
14,1,3,+13.0,11,112.8,8,54.4%,19,15.4%,8,28.6%,11,21.3,1,99.8,3,49.2%,11,15.3%,2,21.3%,12,19.2,
6,10,17,+1.8,14,111.3,9,54.1%,10,13.9%,29,22.1%,10,21.8,20,109.5,26,54.1%,7,16.1%,7,23.5%,30,24.0,
6,6,15,+3.2,10,113.5,18,52.6%,3,13.0%,15,26.6%,8,22.0,22,110.3,8,50.0%,30,12.0%,26,27.3%,18,20.3,
6,5,20,-2.0,26,106.6,22,51.6%,24,15.8%,13,27.1%,30,16.2,18,108.6,17,52.2%,9,15.8%,23,26.2%,23,21.4,
8,7,19,-1.1,22,108.3,24,51.2%,7,13.5%,27,23.6%,16,20.1,19,109.3,16,51.6%,28,13.0%,5,23.2%,16,19.9,
11,3,7,+7.9,7,113.9,11,54.1%,4,13.1%,26,24.1%,9,21.8,12,106.0,10,50.4%,2,17.1%,30,28.8%,6,17.5,
